Country,Oil_Imports
Algeria,146.5
Argentina,274.8
Bahrain,97.2
Belgium,4.9
Brazil,0.1
Brunei,3872.8
Canada,1.5
China,3649.5
France,3.8
Germany,11.6
Greece,0.1
India,4196.9
Indonesia,60
Italy,1.3
Japan,2172.5
South Korea,12908.1
Malaysia,10596.6
Netherlands,3.5
New Zealand,390.8
Nigeria,577
Norway,1
Oman,264.1
Papua New Guinea,103.4
Poland,3.2
Singapore,13646.7
South Africa,2.3
Spain,1.5
Sweden,0.6
Switzerland,3.1
Taiwan,4250.8
Thailand,131.4
United Arab Emirates,885.5
United Kingdom,6.1
United States,3030.4
Vietnam,1347.3